stock,url,created,suositus,analyytikko
sievi-capital,arvostus-karannut-pahasti,2018-10-18 19:03:00,myy,"Sauli Vilen,Olli Vilppo"
lehto-group,tulosvaroitus-nosti-esiin-huomattavia-rakenteellisia-ongelmia,2018-10-22 08:37:00,vähennä,
sanoma,positiivinen-kannattavuuskehitys-jatkuu,2018-10-25 07:41:00,lisää,
avidly,yhtio-etenee-oikeaan-suuntaan-2,2018-10-25 09:08:00,lisää,
solteq,suunta-oikea-arvostus-haasteena,2018-10-26 08:14:00,vähennä,
srv,heikkoihin-odotuksiin-parempi-suoritus,2018-10-26 08:26:00,vähennä,
alma-media,marketsin-kasvu-tukee-osaketta,2018-10-26 08:29:00,lisää,
etteplan,hyvan-markkinan-kestavyys-epailyttaa,2018-10-31 08:50:00,vähennä,
wulff-yhtiot,parempaan-suuntaan,2018-11-01 20:22:00,vähennä,
lehto-group,pienoinen-luottamuksen-palautus,2018-11-05 08:06:00,vähennä,
efecte,kasvuvauhti-ei-vastaa-viela-panostuksia,2018-11-08 07:50:00,lisää,
ramirent,epavarmuus-syklin-kestavyydesta-varjona,2018-11-08 08:25:00,vähennä,
poyry,poyry-seurannan-aloitus-kriisista-kannattavaan-kasvuun,2018-11-14 21:23:00,lisää,Juha Kinnunen
afarak-group,profitability-burdened-weak-ferroalloys,2018-11-19 09:25:00,-,Petri Gostowski
tallink,tallink-odotettavissa-vakaata-lainehdintaa,2018-11-21 07:48:00,vähennä,"Antti Viljakainen,Olli Koponen"
verkkokauppacom,tehokkuus-edelleen-valttina,2018-11-21 19:06:00,osta,"Sauli Vilen,Olli Vilppo"
kotipizza-group,suosittelemme-kotipizzan-omistajia-tarttumaan-orklan-tekemaan-tarjoukseen,2018-11-23 01:14:00,pidä,Petri Kajaani
aktia,konservatiivinen-osinkoyhtio,2018-11-28 22:36:00,vähennä,"Jesse Kinnunen,Sauli Vilén"
aspocomp,aspocomp-yhtioraportti-noussut-kurssitaso-vaatii-yhtiolta-yha-enemman,2018-12-07 07:51:00,vähennä,Juha Kinnunen
amer-sports,suosittelemme-amer-sportsin-omistajia-tarttumaan-400-euron-kateisostotarjoukseen,2018-12-10 07:27:00,pidä,Petri Kajaani
poyry,suosittelemme-poyryn-omistajia-hyvaksymaan-102-euron-ostotarjouksen,2018-12-10 21:29:00,pidä,
raute,suurin-huoli-syklin-kesto,2018-12-12 07:34:00,lisää,Antti Viljakainen
lehto-group,arvostukseen-hinnoiteltu-jo-riittavasti-riskeja,2018-12-12 07:48:00,lisää,
glaston,valmiina-kasvuun-alylasin-myota,2018-12-14 07:48:00,lisää,Erkki Vesola
aspocomp,kaannymme-jalleen-varovaisen-optimistisiksi,2018-12-17 07:52:00,lisää,
wulff-yhtiot,tulosparannuksen-vuosi,2018-12-17 07:53:00,vähennä,
